Airport Name,Year,City,Airport ID,Measure,Value
Jacksonville International,2000,Jacksonville,JAX,All-cargo operations landed weight (thousands of short tons),224
Washington Dulles International,2000,Dulles,IAD,All-cargo operations landed weight (thousands of short tons),396
Fort Lauderdale/Hollywood International,2000,Fort Lauderdale,FLL,All-cargo operations landed weight (thousands of short tons),588
Spokane International,2000,Spokane,GEG,All-cargo operations landed weight (thousands of short tons),340
Greenville Spartanburg International,2000,Greer,GSP,All-cargo operations landed weight (thousands of short tons),96
Huntsville International-Carl T Jones Field,2000,Huntsville,HSV,All-cargo operations landed weight (thousands of short tons),243
Columbia Metropolitan,2000,Columbia,CAE,All-cargo operations landed weight (thousands of short tons),473
Eppley Airfield,2000,Omaha,OMA,All-cargo operations landed weight (thousands of short tons),342
Harrisburg International,2000,Harrisburg,MDT,All-cargo operations landed weight (thousands of short tons),188
Tulsa International,2000,Tulsa,TUL,All-cargo operations landed weight (thousands of short tons),159
Cleveland-Hopkins International,2000,Cleveland,CLE,All-cargo operations landed weight (thousands of short tons),277
McCarran International,2000,Las Vegas,LAS,All-cargo operations landed weight (thousands of short tons),179
Louis Armstrong New Orleans International,2000,Metairie,MSY,All-cargo operations landed weight (thousands of short tons),241
St Louis Lambert International,2000,St. Louis,STL,All-cargo operations landed weight (thousands of short tons),336
Valley International,2000,Harlingen,HRL,All-cargo operations landed weight (thousands of short tons),69
Joe Foss Field,2000,Sioux Falls,FSD,All-cargo operations landed weight (thousands of short tons),211
The Eastern Iowa,2000,Cedar Rapids,CID,All-cargo operations landed weight (thousands of short tons),129
Syracuse Hancock International,2000,Syracuse,SYR,All-cargo operations landed weight (thousands of short tons),237
Charleston AFB/International,2000,Charleston,CHS,All-cargo operations landed weight (thousands of short tons),20
Boise Air Terminal/Gowen Field,2000,Boise,BOI,All-cargo operations landed weight (thousands of short tons),171
Buffalo Niagara International,2000,Buffalo,BUF,All-cargo operations landed weight (thousands of short tons),161
Nashville International,2000,Nashville,BNA,All-cargo operations landed weight (thousands of short tons),151
Shreveport Regional,2000,Shreveport,SHV,All-cargo operations landed weight (thousands of short tons),154
Ellison Onizuka Kona International at Keahole,2000,Kailua Kona,KOA,All-cargo operations landed weight (thousands of short tons),129
McGhee Tyson,2000,Alcoa,TYS,All-cargo operations landed weight (thousands of short tons),162
Hector International,2000,Fargo,FAR,All-cargo operations landed weight (thousands of short tons),55
Greater Rochester International,2000,Rochester,ROC,All-cargo operations landed weight (thousands of short tons),223
Des Moines International,2000,Des Moines,DSM,All-cargo operations landed weight (thousands of short tons),381
Will Rogers World,2000,Oklahoma City,OKC,All-cargo operations landed weight (thousands of short tons),179
Kahului,2000,Kahului,OGG,All-cargo operations landed weight (thousands of short tons),207
Norman Y Mineta San Jose International,2000,San Jose,SJC,All-cargo operations landed weight (thousands of short tons),343
Theodore Francis Green State,2000,Warwick,PVD,All-cargo operations landed weight (thousands of short tons),73
Wichita Dwight D Eisenhower National,2000,Wichita,ICT,All-cargo operations landed weight (thousands of short tons),119
Gerald R Ford International,2000,Grand Rapids,GRR,All-cargo operations landed weight (thousands of short tons),144
Willow Run,2000,Detroit,YIP,All-cargo operations landed weight (thousands of short tons),380
Norfolk International,2000,Norfolk,ORF,All-cargo operations landed weight (thousands of short tons),91
Capital Region International,2000,Clinton (Township of),LAN,All-cargo operations landed weight (thousands of short tons),98
Fort Wayne International,2000,Fort Wayne,FWA,All-cargo operations landed weight (thousands of short tons),480
Hilo International,2000,Hilo,ITO,All-cargo operations landed weight (thousands of short tons),87
Guam International,2000,Tamuning,GUM,All-cargo operations landed weight (thousands of short tons),0
Great Falls International,2000,Great Falls,GTF,All-cargo operations landed weight (thousands of short tons),113
Southwest Georgia Regional,2000,Albany,ABY,All-cargo operations landed weight (thousands of short tons),125
Southwest Florida International,2000,Fort Myers,RSW,All-cargo operations landed weight (thousands of short tons),61
Birmingham-Shuttlesworth International,2000,Birmingham,BHM,All-cargo operations landed weight (thousands of short tons),117
New York Stewart International,2000,Newburgh,SWF,All-cargo operations landed weight (thousands of short tons),138
Albany International,2000,Albany,ALB,All-cargo operations landed weight (thousands of short tons),90
Mobile Downtown,2000,Mobile,BFM,All-cargo operations landed weight (thousands of short tons),95
Tucson International,2000,Tucson,TUS,All-cargo operations landed weight (thousands of short tons),142
Springfield-Branson National,2000,Springfield,SGF,All-cargo operations landed weight (thousands of short tons),100
Roanoke-Blacksburg Regional/Woodrum Field,2000,Roanoke,ROA,All-cargo operations landed weight (thousands of short tons),83
Lihue,2000,Lihue,LIH,All-cargo operations landed weight (thousands of short tons),101
Toledo Express,2000,Toledo,TOL,All-cargo operations landed weight (thousands of short tons),886
Fresno Yosemite International,2000,Fresno,FAT,All-cargo operations landed weight (thousands of short tons),151
General Downing - Peoria International,2000,Peoria,PIA,All-cargo operations landed weight (thousands of short tons),160
Fairbanks International,2000,Fairbanks,FAI,All-cargo operations landed weight (thousands of short tons),555
City of Colorado Springs Municipal,2000,Colorado Springs,COS,All-cargo operations landed weight (thousands of short tons),86
Bishop International,2000,Flint,FNT,All-cargo operations landed weight (thousands of short tons),78
Jackson-Medgar Wiley Evers International,2000,Jackson,JAN,All-cargo operations landed weight (thousands of short tons),115
James M Cox Dayton International,2000,Dayton,DAY,All-cargo operations landed weight (thousands of short tons),"2,233"
Bangor International,2000,Bangor,BGR,All-cargo operations landed weight (thousands of short tons),25
Brownsville/South Padre Island International,2000,Brownsville,BRO,All-cargo operations landed weight (thousands of short tons),65
Grand Forks International,2000,Grand Forks,GFK,All-cargo operations landed weight (thousands of short tons),45
Portsmouth International at Pease,2000,Portsmouth,PSM,All-cargo operations landed weight (thousands of short tons),45
Memphis International,2010,Memphis,MEM,All-cargo operations landed weight (thousands of short tons),"9,772"
Ted Stevens Anchorage International,2010,Anchorage,ANC,All-cargo operations landed weight (thousands of short tons),"9,732"
Louisville Muhammad Ali International,2010,Louisville,SDF,All-cargo operations landed weight (thousands of short tons),"5,319"
Miami International,2010,Miami,MIA,All-cargo operations landed weight (thousands of short tons),"3,453"
Los Angeles International,2010,Los Angeles,LAX,All-cargo operations landed weight (thousands of short tons),"1,977"
Cincinnati/Northern Kentucky International,2010,Cincinnati,CVG,All-cargo operations landed weight (thousands of short tons),"1,216"
Chicago O'Hare International,2010,Chicago,ORD,All-cargo operations landed weight (thousands of short tons),"2,448"
Indianapolis International,2010,Indianapolis,IND,All-cargo operations landed weight (thousands of short tons),"2,359"
Dallas-Fort Worth International,2010,Fort Worth,DFW,All-cargo operations landed weight (thousands of short tons),"1,516"
Ontario International,2010,Ontario,ONT,All-cargo operations landed weight (thousands of short tons),"1,121"
Metropolitan Oakland International,2010,Oakland,OAK,All-cargo operations landed weight (thousands of short tons),"1,324"
John F Kennedy International,2010,New York,JFK,All-cargo operations landed weight (thousands of short tons),"1,962"
Hartsfield - Jackson Atlanta International,2010,Atlanta,ATL,All-cargo operations landed weight (thousands of short tons),"1,314"
Newark Liberty International,2010,Newark,EWR,All-cargo operations landed weight (thousands of short tons),"1,489"
Daniel K Inouye International,2010,Honolulu,HNL,All-cargo operations landed weight (thousands of short tons),"1,062"
Seattle-Tacoma International,2010,Seattle,SEA,All-cargo operations landed weight (thousands of short tons),697
Philadelphia International,2010,Philadelphia,PHL,All-cargo operations landed weight (thousands of short tons),994
George Bush Intercontinental/Houston,2010,Houston,IAH,All-cargo operations landed weight (thousands of short tons),763
Chicago/Rockford International,2010,Rockford,RFD,All-cargo operations landed weight (thousands of short tons),459
Phoenix Sky Harbor International,2010,Phoenix,PHX,All-cargo operations landed weight (thousands of short tons),607
Portland International,2010,Portland,PDX,All-cargo operations landed weight (thousands of short tons),531
Denver International,2010,Denver,DEN,All-cargo operations landed weight (thousands of short tons),619
Tampa International,2010,Tampa,TPA,All-cargo operations landed weight (thousands of short tons),159
Luis Munoz Marin International,2010,San Juan,SJU,All-cargo operations landed weight (thousands of short tons),441
Baltimore/Washington International Thurgood Marshall,2010,Glen Burnie,BWI,All-cargo operations landed weight (thousands of short tons),236
Rickenbacker International,2010,Columbus,LCK,All-cargo operations landed weight (thousands of short tons),342
Salt Lake City International,2010,Salt Lake City,SLC,All-cargo operations landed weight (thousands of short tons),424
Minneapolis-St Paul International/Wold-Chamberlain,2010,Minneapolis,MSP,All-cargo operations landed weight (thousands of short tons),512
San Francisco International,2010,San Francisco,SFO,All-cargo operations landed weight (thousands of short tons),652
Orlando International,2010,Orlando,MCO,All-cargo operations landed weight (thousands of short tons),398
General Edward Lawrence Logan International,2010,Boston,BOS,All-cargo operations landed weight (thousands of short tons),409
Bradley International,2010,Windsor Locks,BDL,All-cargo operations landed weight (thousands of short tons),365
San Antonio International,2010,San Antonio,SAT,All-cargo operations landed weight (thousands of short tons),337
Fort Worth Alliance,2010,Fort Worth,AFW,All-cargo operations landed weight (thousands of short tons),350
Detroit Metropolitan Wayne County,2010,Detroit,DTW,All-cargo operations landed weight (thousands of short tons),276
Boeing Field/King County International,2010,Seattle,BFI,All-cargo operations landed weight (thousands of short tons),453
Sacramento International,2010,Sacramento,SMF,All-cargo operations landed weight (thousands of short tons),135
El Paso International,2010,El Paso,ELP,All-cargo operations landed weight (thousands of short tons),264
Piedmont Triad International,2010,Greensboro,GSO,All-cargo operations landed weight (thousands of short tons),306
Laredo International,2010,Laredo,LRD,All-cargo operations landed weight (thousands of short tons),212
Charlotte/Douglas International,2010,Charlotte,CLT,All-cargo operations landed weight (thousands of short tons),202
General Mitchell International,2010,Milwaukee,MKE,All-cargo operations landed weight (thousands of short tons),248
San Diego International,2010,San Diego,SAN,All-cargo operations landed weight (thousands of short tons),315
Kansas City International,2010,Kansas City,MCI,All-cargo operations landed weight (thousands of short tons),216
Pittsburgh International,2010,Pittsburgh,PIT,All-cargo operations landed weight (thousands of short tons),210
Albuquerque International Sunport,2010,Albuquerque,ABQ,All-cargo operations landed weight (thousands of short tons),299
Sacramento Mather,2010,Sacramento,MHR,All-cargo operations landed weight (thousands of short tons),147
Reno/Tahoe International,2010,Reno,RNO,All-cargo operations landed weight (thousands of short tons),175
Manchester,2010,Manchester,MHT,All-cargo operations landed weight (thousands of short tons),249
Austin-Bergstrom International,2010,Austin,AUS,All-cargo operations landed weight (thousands of short tons),199
Richmond International,2010,Highland Springs,RIC,All-cargo operations landed weight (thousands of short tons),170
Raleigh-Durham International,2010,Raleigh,RDU,All-cargo operations landed weight (thousands of short tons),230
Rafael Hernandez,2010,Aguadilla,BQN,All-cargo operations landed weight (thousands of short tons),257
Jacksonville International,2010,Jacksonville,JAX,All-cargo operations landed weight (thousands of short tons),204
Washington Dulles International,2010,Dulles,IAD,All-cargo operations landed weight (thousands of short tons),225
Fort Lauderdale/Hollywood International,2010,Fort Lauderdale,FLL,All-cargo operations landed weight (thousands of short tons),238
Spokane International,2010,Spokane,GEG,All-cargo operations landed weight (thousands of short tons),220
Greenville Spartanburg International,2010,Greer,GSP,All-cargo operations landed weight (thousands of short tons),76
Huntsville International-Carl T Jones Field,2010,Huntsville,HSV,All-cargo operations landed weight (thousands of short tons),167
Columbia Metropolitan,2010,Columbia,CAE,All-cargo operations landed weight (thousands of short tons),200
Eppley Airfield,2010,Omaha,OMA,All-cargo operations landed weight (thousands of short tons),202
Harrisburg International,2010,Harrisburg,MDT,All-cargo operations landed weight (thousands of short tons),172
Tulsa International,2010,Tulsa,TUL,All-cargo operations landed weight (thousands of short tons),160
Cleveland-Hopkins International,2010,Cleveland,CLE,All-cargo operations landed weight (thousands of short tons),190
McCarran International,2010,Las Vegas,LAS,All-cargo operations landed weight (thousands of short tons),177
Louis Armstrong New Orleans International,2010,Metairie,MSY,All-cargo operations landed weight (thousands of short tons),173
Lubbock Preston Smith International,2010,Lubbock,LBB,All-cargo operations landed weight (thousands of short tons),134
St Louis Lambert International,2010,St. Louis,STL,All-cargo operations landed weight (thousands of short tons),186
Valley International,2010,Harlingen,HRL,All-cargo operations landed weight (thousands of short tons),127
Joe Foss Field,2010,Sioux Falls,FSD,All-cargo operations landed weight (thousands of short tons),166
The Eastern Iowa,2010,Cedar Rapids,CID,All-cargo operations landed weight (thousands of short tons),103
Syracuse Hancock International,2010,Syracuse,SYR,All-cargo operations landed weight (thousands of short tons),157
Charleston AFB/International,2010,Charleston,CHS,All-cargo operations landed weight (thousands of short tons),178
Boise Air Terminal/Gowen Field,2010,Boise,BOI,All-cargo operations landed weight (thousands of short tons),160
Buffalo Niagara International,2010,Buffalo,BUF,All-cargo operations landed weight (thousands of short tons),139
Nashville International,2010,Nashville,BNA,All-cargo operations landed weight (thousands of short tons),122
Shreveport Regional,2010,Shreveport,SHV,All-cargo operations landed weight (thousands of short tons),148
Ellison Onizuka Kona International at Keahole,2010,Kailua Kona,KOA,All-cargo operations landed weight (thousands of short tons),100
McGhee Tyson,2010,Alcoa,TYS,All-cargo operations landed weight (thousands of short tons),157
Hector International,2010,Fargo,FAR,All-cargo operations landed weight (thousands of short tons),11
Greater Rochester International,2010,Rochester,ROC,All-cargo operations landed weight (thousands of short tons),133
Stockton Metropolitan,2010,Stockton,SCK,All-cargo operations landed weight (thousands of short tons),0
Des Moines International,2010,Des Moines,DSM,All-cargo operations landed weight (thousands of short tons),217
Will Rogers World,2010,Oklahoma City,OKC,All-cargo operations landed weight (thousands of short tons),107
Kahului,2010,Kahului,OGG,All-cargo operations landed weight (thousands of short tons),110
Norman Y Mineta San Jose International,2010,San Jose,SJC,All-cargo operations landed weight (thousands of short tons),156
Theodore Francis Green State,2010,Warwick,PVD,All-cargo operations landed weight (thousands of short tons),49
Wichita Dwight D Eisenhower National,2010,Wichita,ICT,All-cargo operations landed weight (thousands of short tons),100
Gerald R Ford International,2010,Grand Rapids,GRR,All-cargo operations landed weight (thousands of short tons),109
Willow Run,2010,Detroit,YIP,All-cargo operations landed weight (thousands of short tons),94
Norfolk International,2010,Norfolk,ORF,All-cargo operations landed weight (thousands of short tons),107
Capital Region International,2010,Clinton (Township of),LAN,All-cargo operations landed weight (thousands of short tons),58
Fort Wayne International,2010,Fort Wayne,FWA,All-cargo operations landed weight (thousands of short tons),85
Hilo International,2010,Hilo,ITO,All-cargo operations landed weight (thousands of short tons),99
Guam International,2010,Tamuning,GUM,All-cargo operations landed weight (thousands of short tons),14
Great Falls International,2010,Great Falls,GTF,All-cargo operations landed weight (thousands of short tons),78
Southwest Georgia Regional,2010,Albany,ABY,All-cargo operations landed weight (thousands of short tons),83
Southwest Florida International,2010,Fort Myers,RSW,All-cargo operations landed weight (thousands of short tons),64
Birmingham-Shuttlesworth International,2010,Birmingham,BHM,All-cargo operations landed weight (thousands of short tons),74
New York Stewart International,2010,Newburgh,SWF,All-cargo operations landed weight (thousands of short tons),79
Albany International,2010,Albany,ALB,All-cargo operations landed weight (thousands of short tons),77
Long Beach /Daugherty Field/,2010,Long Beach,LGB,All-cargo operations landed weight (thousands of short tons),91
Mobile Downtown,2010,Mobile,BFM,All-cargo operations landed weight (thousands of short tons),101
Tucson International,2010,Tucson,TUS,All-cargo operations landed weight (thousands of short tons),75
Springfield-Branson National,2010,Springfield,SGF,All-cargo operations landed weight (thousands of short tons),96
Roanoke-Blacksburg Regional/Woodrum Field,2010,Roanoke,ROA,All-cargo operations landed weight (thousands of short tons),63
Bill and Hillary Clinton National/Adams Field,2010,Little Rock,LIT,All-cargo operations landed weight (thousands of short tons),79
Lihue,2010,Lihue,LIH,All-cargo operations landed weight (thousands of short tons),44
Toledo Express,2010,Toledo,TOL,All-cargo operations landed weight (thousands of short tons),447
Fresno Yosemite International,2010,Fresno,FAT,All-cargo operations landed weight (thousands of short tons),59
General Downing - Peoria International,2010,Peoria,PIA,All-cargo operations landed weight (thousands of short tons),92
Fairbanks International,2010,Fairbanks,FAI,All-cargo operations landed weight (thousands of short tons),105
City of Colorado Springs Municipal,2010,Colorado Springs,COS,All-cargo operations landed weight (thousands of short tons),52
Bishop International,2010,Flint,FNT,All-cargo operations landed weight (thousands of short tons),39
Jackson-Medgar Wiley Evers International,2010,Jackson,JAN,All-cargo operations landed weight (thousands of short tons),36
James M Cox Dayton International,2010,Dayton,DAY,All-cargo operations landed weight (thousands of short tons),22
Bangor International,2010,Bangor,BGR,All-cargo operations landed weight (thousands of short tons),94
Brownsville/South Padre Island International,2010,Brownsville,BRO,All-cargo operations landed weight (thousands of short tons),7
Grand Forks International,2010,Grand Forks,GFK,All-cargo operations landed weight (thousands of short tons),76
Portsmouth International at Pease,2010,Portsmouth,PSM,All-cargo operations landed weight (thousands of short tons),1
St Pete-Clearwater International,2010,Clearwater,PIE,All-cargo operations landed weight (thousands of short tons),65
Memphis International,2011,Memphis,MEM,All-cargo operations landed weight (thousands of short tons),"10,152"
Ted Stevens Anchorage International,2011,Anchorage,ANC,All-cargo operations landed weight (thousands of short tons),"8,887"
Louisville Muhammad Ali International,2011,Louisville,SDF,All-cargo operations landed weight (thousands of short tons),"5,491"
Miami International,2011,Miami,MIA,All-cargo operations landed weight (thousands of short tons),"3,317"
Los Angeles International,2011,Los Angeles,LAX,All-cargo operations landed weight (thousands of short tons),"2,022"
Cincinnati/Northern Kentucky International,2011,Cincinnati,CVG,All-cargo operations landed weight (thousands of short tons),"1,410"
Chicago O'Hare International,2011,Chicago,ORD,All-cargo operations landed weight (thousands of short tons),"2,184"
Indianapolis International,2011,Indianapolis,IND,All-cargo operations landed weight (thousands of short tons),"2,407"
Dallas-Fort Worth International,2011,Fort Worth,DFW,All-cargo operations landed weight (thousands of short tons),"1,532"
Ontario International,2011,Ontario,ONT,All-cargo operations landed weight (thousands of short tons),"1,157"
Metropolitan Oakland International,2011,Oakland,OAK,All-cargo operations landed weight (thousands of short tons),"1,340"
John F Kennedy International,2011,New York,JFK,All-cargo operations landed weight (thousands of short tons),"1,972"
Hartsfield - Jackson Atlanta International,2011,Atlanta,ATL,All-cargo operations landed weight (thousands of short tons),"1,328"
Newark Liberty International,2011,Newark,EWR,All-cargo operations landed weight (thousands of short tons),"1,525"
Daniel K Inouye International,2011,Honolulu,HNL,All-cargo operations landed weight (thousands of short tons),"1,057"
Seattle-Tacoma International,2011,Seattle,SEA,All-cargo operations landed weight (thousands of short tons),679
Philadelphia International,2011,Philadelphia,PHL,All-cargo operations landed weight (thousands of short tons),975
George Bush Intercontinental/Houston,2011,Houston,IAH,All-cargo operations landed weight (thousands of short tons),808
Chicago/Rockford International,2011,Rockford,RFD,All-cargo operations landed weight (thousands of short tons),444
Phoenix Sky Harbor International,2011,Phoenix,PHX,All-cargo operations landed weight (thousands of short tons),620
Portland International,2011,Portland,PDX,All-cargo operations landed weight (thousands of short tons),567
Denver International,2011,Denver,DEN,All-cargo operations landed weight (thousands of short tons),605
Tampa International,2011,Tampa,TPA,All-cargo operations landed weight (thousands of short tons),157
Luis Munoz Marin International,2011,San Juan,SJU,All-cargo operations landed weight (thousands of short tons),434
Baltimore/Washington International Thurgood Marshall,2011,Glen Burnie,BWI,All-cargo operations landed weight (thousands of short tons),242
Rickenbacker International,2011,Columbus,LCK,All-cargo operations landed weight (thousands of short tons),327
Salt Lake City International,2011,Salt Lake City,SLC,All-cargo operations landed weight (thousands of short tons),428
Minneapolis-St Paul International/Wold-Chamberlain,2011,Minneapolis,MSP,All-cargo operations landed weight (thousands of short tons),484
San Francisco International,2011,San Francisco,SFO,All-cargo operations landed weight (thousands of short tons),622
Orlando International,2011,Orlando,MCO,All-cargo operations landed weight (thousands of short tons),403
General Edward Lawrence Logan International,2011,Boston,BOS,All-cargo operations landed weight (thousands of short tons),403
Bradley International,2011,Windsor Locks,BDL,All-cargo operations landed weight (thousands of short tons),375
San Antonio International,2011,San Antonio,SAT,All-cargo operations landed weight (thousands of short tons),374
Fort Worth Alliance,2011,Fort Worth,AFW,All-cargo operations landed weight (thousands of short tons),449
Detroit Metropolitan Wayne County,2011,Detroit,DTW,All-cargo operations landed weight (thousands of short tons),301
Boeing Field/King County International,2011,Seattle,BFI,All-cargo operations landed weight (thousands of short tons),455
Sacramento International,2011,Sacramento,SMF,All-cargo operations landed weight (thousands of short tons),139
El Paso International,2011,El Paso,ELP,All-cargo operations landed weight (thousands of short tons),267
Piedmont Triad International,2011,Greensboro,GSO,All-cargo operations landed weight (thousands of short tons),304
Laredo International,2011,Laredo,LRD,All-cargo operations landed weight (thousands of short tons),227
Charlotte/Douglas International,2011,Charlotte,CLT,All-cargo operations landed weight (thousands of short tons),199
General Mitchell International,2011,Milwaukee,MKE,All-cargo operations landed weight (thousands of short tons),245
San Diego International,2011,San Diego,SAN,All-cargo operations landed weight (thousands of short tons),325
Kansas City International,2011,Kansas City,MCI,All-cargo operations landed weight (thousands of short tons),212
Pittsburgh International,2011,Pittsburgh,PIT,All-cargo operations landed weight (thousands of short tons),206
Albuquerque International Sunport,2011,Albuquerque,ABQ,All-cargo operations landed weight (thousands of short tons),297
Sacramento Mather,2011,Sacramento,MHR,All-cargo operations landed weight (thousands of short tons),84
Reno/Tahoe International,2011,Reno,RNO,All-cargo operations landed weight (thousands of short tons),186
Manchester,2011,Manchester,MHT,All-cargo operations landed weight (thousands of short tons),261
Austin-Bergstrom International,2011,Austin,AUS,All-cargo operations landed weight (thousands of short tons),208
Richmond International,2011,Highland Springs,RIC,All-cargo operations landed weight (thousands of short tons),177
Raleigh-Durham International,2011,Raleigh,RDU,All-cargo operations landed weight (thousands of short tons),215
Rafael Hernandez,2011,Aguadilla,BQN,All-cargo operations landed weight (thousands of short tons),333
Jacksonville International,2011,Jacksonville,JAX,All-cargo operations landed weight (thousands of short tons),198
Washington Dulles International,2011,Dulles,IAD,All-cargo operations landed weight (thousands of short tons),223
Fort Lauderdale/Hollywood International,2011,Fort Lauderdale,FLL,All-cargo operations landed weight (thousands of short tons),213
Spokane International,2011,Spokane,GEG,All-cargo operations landed weight (thousands of short tons),217
Greenville Spartanburg International,2011,Greer,GSP,All-cargo operations landed weight (thousands of short tons),96
Huntsville International-Carl T Jones Field,2011,Huntsville,HSV,All-cargo operations landed weight (thousands of short tons),223
Columbia Metropolitan,2011,Columbia,CAE,All-cargo operations landed weight (thousands of short tons),191
Eppley Airfield,2011,Omaha,OMA,All-cargo operations landed weight (thousands of short tons),197
Harrisburg International,2011,Harrisburg,MDT,All-cargo operations landed weight (thousands of short tons),173
Tulsa International,2011,Tulsa,TUL,All-cargo operations landed weight (thousands of short tons),165
Cleveland-Hopkins International,2011,Cleveland,CLE,All-cargo operations landed weight (thousands of short tons),185
McCarran International,2011,Las Vegas,LAS,All-cargo operations landed weight (thousands of short tons),174
Louis Armstrong New Orleans International,2011,Metairie,MSY,All-cargo operations landed weight (thousands of short tons),161
Lubbock Preston Smith International,2011,Lubbock,LBB,All-cargo operations landed weight (thousands of short tons),108
St Louis Lambert International,2011,St. Louis,STL,All-cargo operations landed weight (thousands of short tons),192
Valley International,2011,Harlingen,HRL,All-cargo operations landed weight (thousands of short tons),119
Joe Foss Field,2011,Sioux Falls,FSD,All-cargo operations landed weight (thousands of short tons),172
